district,school,schtype,adminyear,bookletnumber,sasid,grade,stugrade,lastname,firstname,mi,gender,race_off,dob,yrsinmass,yrsinmass_num,yrsinsch,yrsindis,ever_ell,highneeds,freelunch_off,title1_off,lep_off,lepflep_off,flep_off,sped_off,plan504_off,firstlanguage,natureofdis,levelofneed,spedplacement,nclb_choice,octenr,conenr_sch,conenr_dis,conenr_sta,access_part,ealt,ecomplexity,eteststat,wptopdev,wpcompconv,eitem1,eitem2,eitem3,eitem4,eitem5,eitem6,eitem7,eitem8,eitem9,eitem10,eitem11,eitem12,eitem13,eitem14,eitem15,eitem16,eitem17,eitem18,eitem19,eitem20,eitem21,eitem22,eitem23,eitem24,eitem25,eitem26,eitem27,eitem28,eitem29,eitem30,eitem31,eitem32,eitem33,eitem34,eitem35,eitem36,eitem37,eitem38,eitem39,eitem40,eitem41,eitem42,erawsc,emcpts,eorpts,escaleds,eperflev,eperf2,ecpi,enumin,eassess,esgp,amendela,malt,mcomplexity,mteststat,mitem1,mitem2,mitem3,mitem4,mitem5,mitem6,mitem7,mitem8,mitem9,mitem10,mitem11,mitem12,mitem13,mitem14,mitem15,mitem16,mitem17,mitem18,mitem19,mitem20,mitem21,mitem22,mitem23,mitem24,mitem25,mitem26,mitem27,mitem28,mitem29,mitem30,mitem31,mitem32,mitem33,mitem34,mitem35,mitem36,mitem37,mitem38,mitem39,mitem40,mitem41,mitem42,mrawsc,mmcpts,morpts,mscaleds,mperflev,mperf2,mcpi,mnumin,massess,msgp,amendmat,salt,scomplexity,steststat,scitry,sitem1,sitem2,sitem3,sitem4,sitem5,sitem6,sitem7,sitem8,sitem9,sitem10,sitem11,sitem12,sitem13,sitem14,sitem15,sitem16,sitem17,sitem18,sitem19,sitem20,sitem21,sitem22,sitem23,sitem24,sitem25,sitem26,sitem27,sitem28,sitem29,sitem30,sitem31,sitem32,sitem33,sitem34,sitem35,sitem36,sitem37,sitem38,sitem39,sitem40,sitem41,sitem42,sitem43,sitem44,sitem45,srawsc,smcpts,sorpts,sscaleds,sperflev,sperf2,scpi,snumin,sassess,amendsci,ela_cd,math_cd,sci_cd,accom_l,accom_c,accom_m,accom_s,accom26l,accom29c,accom30m,datachanged,mcasrowid,grade2010,grade2011,grade2012,escaleds2010,escaleds2011,escaleds2012,mscaleds2010,mscaleds2011,mscaleds2012,esgp2010,esgp2011,esgp2012,msgp2010,msgp2011,msgp2012,summarize
DistrictX,40,ES,2013,484756656,1158807,5,5,Smith,John,A,F,H,7/24/02,5+,6,6,6,0,1,1,0,0,0,0,0,0,267,8,1,1, ,1, , , , , , ,T, , ,A,+,A,A,+,+,0,+,+,+,B,C,+,+,+,+,C,2,+,+,-,-,+,2,+,+,-,+,-,+,+,+,+,-,3,+,+,+,+,-, , ,31,24,7,234,NI,NI,75,1,1,83, , , ,T,C,B,A,0,1,B,+,C,+,+,A,+,+,C,C,+,0,0,0,A,B,+,+,-,+,+,0,1,-,+,-,1,-,-,+,+,1,+,-,-,-,0,18,14,4,216,W,W,25,1,1,35, , , ,T, ,+,C,A,A,+,+,A,C,+,2,+,A,+,+,A,+,+,+,+,C,0,+,+,-,+,-,-,-,+,1,+,+,+,-,+,+,+,+,+,+,+,1, , , ,29,25,4,226,NI,NI,50,1,1, , , , ,1, ,1,1, , , ,0,1.31E+14, ,3,4, ,218,222, ,228,216, , ,72, , ,5,1
DistrictX,40,ES,2013,514668171,1640339,5,5,Smith,John,A,M,A,4/22/02,3,3,3,3,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,2,+,+,+,+,+,+,+,+,+,+,3,+,+,+,+,+,3,+,+,+,+,+,+,+,+,+,+,2,-,-,+,+,+, , ,44,34,10,260,A,A,100,1,1,85, , , ,T,+,+,+,0,3,+,+,+,+,+,+,+,+,+,+,+,0,1,3,D,+,+,+,+,+,+,0,1,+,+,-,3,-,+,+,+,1,+,-,+,+,2,42,28,14,252,P,P,100,1,1,62, , , ,T, ,+,C,+,+,+,+,+,C, ,2,A,+,+,+,+,+,B,B,+,+,1,+,+,+,+,+,+,+,+,4,+,+,+,+,+,+,+,+,+,+,+,3, , , ,42,32,10,252,P,P,100,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, , ,246, ,246,240, , , , , ,45,1
DistrictX,40,ES,2013,748915770,1374770,5,5,Smith,John,Y,F,H,11/5/01,1,1,1,1,1,1,1,0,1,1,0,0,0,7, , ,0, ,1, , , ,1, , ,NTL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LEP, , , ,1, , , , ,NTL,+,C,+, ,0,+,A,C,+,D,A,B,D,C,+,+,0,0,0,A,D,-,-,-,+,-,0,0,-,-,-,0,-,-,+,-,0,-,+,-,-,0,9,9,0, ,LEP, , , ,1, , , , ,NTL, ,A,A,D,B,D,+,C,C,+,1,C,+,B,+,C,B,B,D,C,+,1,-,-,-,-,-,-,-,-,0,-,+, ,-,-,+,+,-,-,-,+,0, , , ,11,9,2, ,LEP, , , ,1, , , , , , , , , , , ,0,1.31E+14, , , , , , , , , , , , , , , ,1
DistrictX,40,ES,2013,432817261,1052546,5,5,Smith,John,L,F,W,11/3/01,5+,6,5,5,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,2,B,+,+,+,A,+,+,+,+,+,3,+,+,+,+,+,3,+,+,+,+,+,+,+,+,+,+,1,+,-,+,+,+, , ,42,33,9,256,P,P,100,1,1,22, , , ,T,+,+,B,0,2,D,+,+,A,+,+,+,+,+,+,C,0,0,3,A,+,+,+,-,+,+,1,1,+,+,+,0,+,+,+,+,1,+,+,+,+,3,37,26,11,242,P,P,100,1,1,31, , , ,T, ,D,C,B,+,+,+,+,+,+,3,C,+,+,+,C,+,+,+,+,+,4,+,+,-,+,-,+,-,-,3,+,+,+,+,+,-,+,+,+,+,-,2, , , ,39,27,12,246,P,P,100,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, ,252,270, ,252,238, , ,97, , ,17,1
DistrictX,40,ES,2013,433710067,1882291,5,5,Smith,John,K,M,W,12/29/01,5+,6,6,6,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,2,+,+,+,+,+,+,+,+,+,B,4,+,+,+,+,+,3,+,+,+,+,+,+,+,+,+,+,3,+,+,+,+,+, , ,47,35,12,268,A,A,100,1,1,75, , , ,T,+,+,+,1,3,B,+,+,+,+,+,+,+,+,D,+,1,1,3,+,+,+,+,+,+,+,1,1,+,+,+,1,+,+,+,+,1,+,-,+,+,3,45,29,16,258,P,P,100,1,1,31, , , ,T, ,+,+,+,+,+,+,+,+,+,3,+,+,+,+,C,+,+,+,+,+,3,+,+,+,+,+,+,+,+,4,+,+,+,+,+,+,+,+,+,+,+,4, , , ,51,37,14,274,A,A,100,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, ,262,264, ,268,252, , ,70, , ,17,1
DistrictX,40,ES,2013,659564980,1699950,5,5,Smith,John,J,M,B,9/7/01,5+,6,5,6,0,1,1,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,A,+,+,+,1,+,+,+,A,+,+,+,+,+,+,2,+,+,-,-,+,2,+,-,+,+,+,-,+,+,+,+,2,+,+,+,+,+, , ,37,30,7,244,P,P,100,1,1,59, , , ,T,+,B,+,1,0,+,+,+,A,D,+,+,+,+,C,+,1,1,0,+,B,+,+,+,+,+,1,1,+,+,+,1,+,+,+,+,1,+,-,-,-,4,35,24,11,238,NI,NI,75,1,1,29, , , ,T, ,+,C,B,+,+,+,+,+,+,0,+,+,+,B,+,+,+,+,+,+,1,+,+,-,+,-,+,+,+,1,+,+,-,+,+,+,+,+,+,+,+,3, , , ,37,32,5,240,P,P,100,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, ,240,240, ,242,240, , ,49, , ,54,1
DistrictX,40,ES,2013,761843637,1618704,5,5,Smith,John,M,M,B,12/21/01,5+,6,6,6,0,1,1,0,0,0,0,1,0,267,3,3,20, ,1, , , , , , ,T, , ,+,+,A,C,+,+,1,+,+,A,+,+,+,B,C,+,C,2,+,-,+,+,-,3,+,+,+,+,+,+,-,+,+,+,1,-,-,+,+,-, , ,31,24,7,234,NI,NI,75,1,1,74, , , ,T,+,B,B,0,0,+,C,+,+,+,+,+,+,+,+,+,1,1,0,A,+,+,+,+,-,+,0,1,+,+,-,0,-,-,-,+,1,+,+,+,-,0,26,22,4,222,NI,NI,50,1,1,24, , , ,T, ,+,+,B,B,+,+,A,+,+,1,+,+,+,+,B,+,C,D,C,+,2,+,+,-,-,+,-,-,-,1,+,+,+,-,+,-,+,+,+,+,-,1, , , ,28,23,5,224,NI,NI,50,1,1, , , , ,1, ,1,1, , , ,0,1.31E+14, ,3,4, ,232,220, ,240,226, , ,16, , ,17,1
DistrictX,40,ES,2013,697527928,1937791,5,5,Smith,John,L,M,W,5/21/02,5+,6,6,6,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,2,+,+,A,+,+,+,+,+,+,B,4,+,+,+, ,+,3,+,+,-,+,-,+,+,+,+,+,2,+,+,+,+,+, , ,42,31,11,256,P,P,100,1,1,75, , , ,T,+,+,A,1,0,D,+,C,C,+,+,+,+,+,+,+,1,1,0,A,+,+,+,+,+,+,0,1,+,+,-,1,-,+,-,-,1,+,+,+,-,0,28,22,6,226,NI,NI,50,1,1,14, , , ,T, ,B,C,B,+,+,D,+,+,+,2,D,B,D,+,B,+,D,+,+,+,0,+,+,-,-,+,-,+,+,2,+,+,+,+,+,+,+,+,+,+,-,1, , , ,30,25,5,228,NI,NI,50,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, ,242,250, ,240,236, , ,82, , ,51,1
DistrictX,40,ES,2013,745528373,1863461,5,5,Smith,John,E,F,W,11/20/01,5+,6,6,6,0,0,0,0,0,0,0,0,0,267,8,2,1, ,1, , , , , , ,T, , ,+,+,+,+,+,B,2,+,+,A,+,D,+,+,C,+,+,4,+,-,+,-,+,3,+,+,-,+,-,+,+,+,+,+,3,+,+,+,+,+, , ,40,28,12,250,P,P,100,1,1,31, , , ,T,+,+,+,1,0,+,+,+,A,+,+,+,A,D,B,+,0,1,4,C,B,-,+,+,-,+,0,1,+,+,-,3,+,+,+,+,0,-,-,-,+,2,32,20,12,232,NI,NI,75,1,1,3, , , ,T, ,+,+,+,B,+,+,+,C,+,2,A,+,+,+,C,A,+,+,+,B,3,+,+,+,+,+,+,+,+,4,+,+,+,+,-,-,+,+,+,+,+,3, , , ,42,30,12,252,P,P,100,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, ,244,260, ,256,248, , ,95, , ,34,1
DistrictX,40,ES,2013,515833399,1995289,5,5,Smith,John,S,F,W,7/1/02,5+,6,5,6,0,1,1,0,0,0,0,1,0,267,8,1,10, ,1, , , , , , ,T, , ,A,+,+,+,D,A,1,+,A,D,B,A,+,+,D,+,+,1,-,-,-,+,-,2,-,+,+,+,-,-,+,+, , ,2,-,+,-,+,+, , ,23,17,6,220,NI,NI,50,1,1,5, , , ,T,+,D,B,0,0,+,D,A,+,B,+,+,D,A,+,B,0,1,1,A,B,+,-,-,+,+,1,1,+,-,-,0,-,-,+,-,1,+,-,-,-,0,17,12,5,216,W,W,25,1,1,1, , , ,T, ,+,+,+,+,+,+,+,+,+,2,+,+,+,+,C,B,D,A,+,C,0,+,+,+,+,-,+,-,-,2,+,+,+,+,+,+,+,+,+,+,+,3, , , ,37,30,7,240,P,P,100,1,1, , , , ,1, ,1,1, , , ,0,1.31E+14, ,3,4, ,238,230, ,232,234, , ,26, , ,70,1
DistrictX,40,ES,2013,492039712,1581644,5,5,Smith,John,E,F,W,1/10/02,5+,6,6,6,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,D,+,+,C,D,+,1,+,A,+,B,C,+,A,+,+,+,1,-,-,-,-,+,2,+,+,+,-,-,-,-,-,-,-,2,+,-,-,-,-, , ,20,14,6,218,W,W,25,1,1,2, , , ,T,+,D,+,1,2,+,+,B,D,+,+,+,+,+,B,+,1,1,0,+,B,+,-,+,+,+,1,1,+,+,-,1,+,+,+,-,1,+,-,+,+,2,34,23,11,236,NI,NI,75,1,1,38, , , ,T, ,+,D,B,+,+,D,+,C,+,1,A,B,D,+,+,+,D,+,B,C,1,+,+,-,+,-,-,-,-,0,+,+,+,-,+,+,+,-,+,+,+,3, , , ,26,21,5,222,NI,NI,50,1,1, , , , , , , , , , , ,0,1.31E+14, ,3,4, ,248,222, ,242,236, , ,2, , ,43,1
DistrictX,40,ES,2013,622430187,1445888,5,5,Smith,John, ,M,A,5/3/02,1,1,1,1,1,1,1,0,1,1,0,0,0,2, , ,0, ,1, , , ,1, , ,T, , ,B,+,+,+,+,+,2,+,+,D,+,+,+,+,+,+,+,2,+,-,-,-,+,3,+,+,-,+,-,+,+,+,+,-,2,+,+,+,+,+, , ,37,28,9,244,P,P,100,1,1, , , , ,NTO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TRN, , , , , , , , ,NTO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TRN, , , , , , , , , , , , , , , ,0,1.31E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,712676326,1193594,3,3,Smith,John, ,F,B,7/1/04,4,4,4,4,0,1,1,0,0,0,0,0,1,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,+,+,+,3,+,+,+,+,+,+,1,+,-,+,-,+,2,-,+,+,+,+,+,-,+,+,+,1,2,+,-,-,-,+, ,38,29,9,242,P,P,100,1,1, , , , ,T,+,+,0,B,A,B,+,2,+,+,C,0,0,+,B,C,+,2,+,-,+,+,1,1,+,2,+,-,+,+,+,1,2,+,+,-, , , , , , ,28,17,11,240,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,541540970,1211174,3,3,Smith,John,N,F,B,8/9/04,4,4,1,1,0,1,1,0,0,0,0,0,1,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,A,+,+,D,+,+,3,+,+,+,+,+,A,2,+,+,-,+,-,2,-,+,+,+,-,+,+,+,-,+,1,1,+,-,-,+,+, ,35,26,9,238,NI,NI,75,1,1, , , , ,T,+,+,1,+,+,B,+,1,+,+,+,1,0,+,+,A,D,1,+,+,-,+,1,0,+,2,-,+,+,+,+,1,0,+,+,-, , , , , , ,28,20,8,240,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,419935074,1798220,3,3,Smith,John,M,F,H,1/12/04,4,4,4,4,1,1,1,0,1,1,0,0,0,7, , ,0, ,1, , , ,1, , ,T, , ,D,B,+,C,+,A,A,+,A,B,2,A,+,+,+,+,C,1,-,+,+,-,+,2,+,+,+,+,+,+,-,+,-,+,1,1,-,+,-,-,+, ,27,20,7,226,NI,NI,50,1,1, , , , ,T,A,+,1,+,A,+,A,0,D,+,+,1,0,+,C,C,B,0,-,-,-,+,1,0,-,0,-,-,+,-,+,0,0,-,-,-, , , , , , ,12,9,3,214,W,W,25,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,480118181,1007832,3,3,Smith,John,A,F,H,6/11/04,4,4,4,4,0,1,1,1,0,0,0,0,0,7, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,D,+,+,+,3,+,+,+,+,+,A,1,+,+,-,-,+,2,+,+,+,-,+,-,-,+,+,+,1,2,+,+,+,-,+, ,37,28,9,240,P,P,100,1,1, , , , ,T,+,+,1,D,+,+,+,0,+,+,C,1,0,+,B,A,+,1,-,-,+,+,1,0,-,0,-,+,+,+,+,1,2,-,-,+, , , , , , ,23,16,7,228,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,658246325,1699766,3,3,Smith,John, ,M,W,8/28/03,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,+,+,+,3,+,+,+,+,+,+,1,+,+,+,+,+,2,+,+,+,+,+,+,+,+,+,+,1,1,+,+,+,+,+, ,44,36,8,262,A,A,100,1,1, , , , ,T,+,+,1,+,+,+,+,2,+,+,+,1,0,+,+,+,+,2,+,-,+,+,1,1,+,2,+,+,+,-,+,1,2,+,+,-, , , , , , ,36,23,13,262,A,A,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,632104634,1566249,3,3,Smith,John,A,M,H,12/1/03,4,4,4,4,1,1,1,0,1,1,0,0,0,7, , ,0, ,1, , , ,1, , ,T, , ,+,+,+,+,B,A,+,A,+,+,1,A,+,+,A,+,A,1,-,+,+,-,+,2,+,+,+,+,+,+,+,+,-,+,0,2,+,+,+,+,-, ,32,26,6,234,NI,NI,75,1,1, , , , ,T,+,+,1,D,+,+,+,1,D,+,+,1,0,B,C,+,+,1,+,+,+,+,1,1,+,2,+,+,+,+,+,1,0,+,+,-, , , , , , ,30,21,9,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,718535858,1966266,3,3,Smith,John,N,F,B,9/8/03,4,4,1,2,0,1,1,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,A,+,A,+,B,3,+,C,+,+,+,+,1,+,+,-,-,+,2,+,+,+,+,-,+,+,+,+,+,2,2,+,+,-,-,-, ,36,26,10,238,NI,NI,75,1,1, , , , ,T,+,C,1,A,C,+,+,2,+,B,C,0,0,+,+,A,+,0,+,-,-,+,1,0,-,1,-,+,+,-,+,1,2,+,-,-, , , , , , ,21,13,8,224,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,631265945,1848119,3,3,Smith,John,P,M,H,10/26/03,4,4,4,4,1,1,1,0,1,1,0,1,1,7,12,4,40, ,1, , , ,1, , ,T, , ,C,+,A,+,+,+,A,C,+,D,3,+,+,+,C,+,A,1,-,+,+, , ,1,-,+,+,+,+,+,+,+,+,+,2,2,+,-,-,-,+, ,31,22,9,232,NI,NI,75,1,1, , , , ,NTO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TRN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,475325999,1394442,3,3,Smith,John, ,M,W,7/19/04,4,4,2,4,1,1,0,0,1,1,0,1,0,135,13,3,20, ,1, , , ,1, , ,T, , ,+,D,+,+,B,+,C,D,C,+,3,+,+,B,+,A,C,1,+,+,-,+,+,1,-,+,+,-,+,+,-,+,-,+,1,2,+,+,+,-,+, ,30,22,8,230,NI,NI,75,1,1, , , , ,T,+,B,0,+,+,+,+,1,+,C,A,0,0,+,B, ,+,0,+,-,+,+,1,1,-,0,-,+,+,-,-,0,1,+,+,+, , , , , , ,20,16,4,220,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,705248286,1832649,3,3,Smith,John, ,F,H,9/23/03,4,4,3,4,1,1,0,0,1,1,0,1,0,7,3,4,40, ,1, , , ,1, , ,T, , ,C,+,+,C,+,+,+,+,+,+,1,D,+,+,C,B,A,0,-,+,+,-,-,1,-,-,-,-,-,+,-,-,-,+,0,2,+,+,-,+,-, ,21,17,4,220,NI,NI,50,1,1, , , , ,T,C,C,0,D,A,B,A,1,A,A,A,0,0,A,+,A,+,0,+,-,-,-,1,0,-,0,-,-,-,-,-,0,0,-,-,-, , , , , , ,5,3,2,206,W,W,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,690074441,1149126,3,3,Smith,John,P,F,W,12/31/03,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,B,+,+,+,+,+,2,+,+,+,+,+,+,2,-,+,+,-,+,1,+,+,+,+,+,+,+,+,+,+,1,1,+,+,+,+,+, ,40,33,7,246,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,0,+,+,C,1,0,+,B,C,+,2,+,+,-,+,1,1,+,2,-,+,+,+,+,1,1,+,+,-, , , , , , ,30,20,10,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,721869088,1610754,3,3,Smith,John, ,M,W,6/13/04,3,3,2,2,1,1,1,0,1,1,0,0,0,135, , ,0, ,1, , , ,1, , ,T, , ,+,D,+,D,A,A,C,A,A,D,1,+,A,B,+,A,A,1,-,-,-,-,-,1,+,-,+,-,-,-,-,+,-,-,0,0,-,-,-,-,-, ,10,7,3,208,W,W,0,1,1, , , , ,T,+,+,1,B,+,+,+,0,+,C,+,1,0,+,B,A,+,0,+,-,-,+,1,1,-,1,+,-,+,+,+,1,0,-,+,-, , , , , , ,22,16,6,226,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,526874418,1848654,3,3,Smith,John,M,M,W,12/19/03,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,C,+,+,A,+,2,+,+,+,+,+,+,2,+,-,+,+,+,1,+,+,+,+,+,+,+,+,+,+,1,2,+,+,+,-,+, ,40,32,8,246,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,1,+,+,+,0,0,+,B,+,+,2,+,+,+,+,1,0,+,2,+,-,+,+,+,0,0,-,+,+, , , , , , ,30,23,7,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,506117735,1184283,3,3,Smith,John,W,M,W,9/10/03,4,4,4,4,0,0,0,0,0,0,0,0,1,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,B,A,+,+,+,+,3,+,+,+,+,+,+,1,+,+,+,+,+,1,+,+,+,+,+,+,-,+,+,+,2,1,+,+,+,+,+, ,41,33,8,250,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,B,1,+,+,+,1,0,+,B,C,+,1,+,+,+,+,1,1,+,1,+,-,+,+,+,1,2,+,+,+, , , , , , ,32,22,10,250,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,604834849,1647967,3,3,Smith,John,G,M,W,9/11/03,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,+,+,+,2,+,+,+,+,+,+,2,+,+,+,+,+,1,+,+,+,+,+,+,+,+,+,+,2,1,+,+,+,+,+, ,44,36,8,262,A,A,100,1,1, , , , ,T,+,+,1,+,+,+,+,2,+,+,+,1,1,+,+,+,+,2,+,+,+,+,1,1,+,2,+,+,+,+,+,1,2,+,+,-, , , , , , ,39,25,14,276,A,A,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,451738219,1637811,3,3,Smith,John,M,M,W,7/23/04,4,4,2,4,1,1,1,1,0,1,1,0,0,6, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,D,+,D,3,+,+,+,+,+,C,1,+,+,-,+,+,2,-,+,+,+,+,+,+,+,-,+,2,2,+,+,-,+,+, ,39,29,10,244,P,P,100,1,1, , , , ,T,+,+,0,D,B,+,B,2,+,C,+,1,0,+,A,A,+,2,-,-,-,-,1,1,+,1,-,+,+,+,-,1,1,+,-,-, , , , , , ,22,12,10,226,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,633645020,1765647,3,3,Smith,John,E,M,W,3/12/04,4,4,4,4,0,0,0,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,C,+,B,+,+,+,+,A,A,+,2,+,+,+,+,C,+,1,+,+,+,+,+,1,+,+,+,+,+,+,+,+,+,+,2,2,+,+,+,-,+, ,38,30,8,242,P,P,100,1,1, , , , ,T,+,C,1,A,+,+,+,1,+,+,+,0,0,+,+,+,+,1,+,+,+,*,1,1,-,2,-,-,+,+,+,0,0,+,-,+, , , , , , ,26,19,7,236,NI,NI,75,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,50,ES,2013,556175670,1019093,3,3,Smith,John,A,M,H,11/24/03,4,4,4,4,1,1,1,0,0,1,1,0,0,7,3,1,1, ,1, , , , , , ,T, , ,+,+,B,+,+,+,+,+,+,+,2,+,+,+,A,+,D,2,+,+,+,-,+,2,+,+,+,+,+,+,+,+,-,+,1,2,+,+,+,-,+, ,39,30,9,244,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,B,0,+,+,+,1,1,+,+,+,A,1,+,-,+,+,1,1,-,2,-,+,+,-,+,1,2,+,+,-, , , , , , ,30,19,11,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
